FuelbedNumber,SiteName,SiteDescription,Ecoregion,VegetationForm,NaturalFireRegime,CoverType,TreeOverstoryLoading,TreeMidstoryLoading,TreeUnderstoryLoading,Snag_class1_foliage_loading,Snag_class1_other_loading,Snag_class1_wood_loading,Snag_class2_loading,Snag_class3_loading,Shrubs_primary_loading,Shrubs_secondary_loading,Shrubs_primary_percent_cover,Shrubs_secondary_percent_cover,Nonwoody_primary_loading,Nonwoody_secondary_loading,Nonwoody_primary_percent_live,Nonwoody_secondary_percent_live,Woody_sound_0_quarter,Woody_sound_quarter_1,Woody_sound_1_3,Woody_sound_3_9,Woody_sound_9_20,Woody_sound_gt20,Woody_rotten_3_9,Woody_rotten_9_20,Woody_rotten_gt20,Woody_stump_sound,Woody_stump_rotten,Woody_stump_lightered,LLM_litter_depth,LLM_litter_percent_cover,LLM_lichen_depth,LLM_lichen_percent_cover,LLM_moss_depth,LLM_moss_percent_cover,LLM_moss_type,LLM_litterneedle_short_percent_cover,LLM_litterneedle_long_percent_cover,LLM_litterneedle_other_percent_cover,LLM_litterneedle_broadleaf_deciduous_percent_cover,LLM_litterneedle_broadleaf_evergreen_percent_cover,LLM_litterneedle_palmfrond_percent_cover,LLM_litterneedle_grass_percent_cover,DuffLower_percent,DuffLower_depth,DuffLower_derivation,DuffUpper_percent,DuffUpper_depth,DuffUpper_derivation,GroundFuel_basalAccumulations_depth,GroundFuel_basalAccumulations_radius,GroundFuel_basalAccumulations_percent,SquirrelMidden_depth,SquirrelMidden_density,SquirrelMidden_radius,
11,Douglas-fir / western hemlock -- Sitka spruce forest,"Moist to wet conditions along the Pacific Northwest coast, from southern Oregon to British Columbia, support very large Douglas-fir, western hemlock, and Sitka spruce. This fuelbed represents stands that were clearcut 40 to 60 years previously.",240,2,5,"130,131,132,136,137",12.1955805,0,0.15923359,1.8987632E-5,,0.43327802,0.24504425,6.8918695,0.10130501,0.387705,75.00,90.00,0.2,0.05,80.00,60.00,1.0,2.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,0,1.9144084,0,1.00,80.00,0.10,1.00,0.70,20.00,2,-1,-1,95.00,5.00,-1,-1,-1,80.00,0.50,3,80.00,0.75,1,-3.00,-3.00,-3.00,-2.00,-2.00,-2.00,
12,Red fir -- mountain hemlock -- lodgepole pine -- western white pine forest,"This fuelbed represents upper montane forests on the west side of the northern Sierra Nevada, composed of a mix of mountain hemlock, red fir, white pine, and lodgepole pine.",260,2,4,"112,117",16.115591,0,0.09435618,3.2896074E-4,,7.143687,10.368832,1.1723069,0.010270001,0,75.00,-3.00,0.05,0.010000001,75.00,55.00,0.3,0.6,1.1,0.6,4.5,7.0000005,0.5,3.6000001,5.0,0,0.004632868,0,1.30,85.00,-2.00,-2.00,0.40,2.00,2,21.00,13.00,53.00,7.00,-1,-1,6.00,96.00,0.60,4,96.00,0.80,1,3.00,0.83,50.00,-2.00,-2.00,-2.00,
13,Mountain hemlock -- Pacific silver fir forest,"Pacific silver fir and mountain hemlock are common associates at high elevations in montane and subalpine forests along the western slopes of the Cascade Range. These forests are typically cool and moist. A wildfire occurred 35 years previously in this fuelbed, and the recovering stand is currently dominated by mountain hemlock.",240,2,5,"112,133",3.8898215,0,0.37086993,1.14242255E-4,,2.480877,14.743496,3.685874,0.24502502,0.20176502,90.00,95.00,0.2,0,85.00,-3.00,0.4,0.6,1.0,13.000001,4.0,7.0000005,3.0000002,1.0,7.0000005,,,,0.20,73.00,0.20,5.00,0.30,10.00,2,-1,-1,98.00,-1,1.00,-1,1.00,73.00,0.80,4,73.00,0.80,1,-3.00,-3.00,-3.00,-2.00,-2.00,-2.00,
14,California black oak woodland,"Pure stands of California black oak are found in the foothills and shallow soils of low mountains in California and southwestern Oregon. California black oak woodlands are found only in pure stands when site conditions are unfavorable for conifers, or when these stands are maintained through thinning and prescribed fire. ",260,1,1,153,19.602003,0,0.03267,,,,,,0.10082501,0,75.00,-3.00,0.1,0,80.00,-3.00,0.25,0.5,0.90000004,1.25,0,0,0,0,0,,,,1.50,60.00,-3.00,-3.00,-3.00,-3.00,-3,-1,-1,-1,75.00,-1,-1,25.00,40.00,0.10,3,60.00,0.40,1,-3.00,-3.00,-3.00,-2.00,-2.00,-2.00,
15,Jeffrey pine -- red fir -- white fir / greenleaf -- snowbrush forest,"Jeffrey pine-dominated mixed conifer forests are widespread at middle to upper elevations in the Sierra Nevada, are generally open, and contain a prominent shrub layer.",260,2,1,154,13.972307,0,0.40269563,1.12145695E-4,,1.1751521,5.8810625,1.148645,3.35259,0.024090001,90.00,90.00,0.040000003,0.010000001,60.00,75.00,0.080000006,0.70000005,0.23,1.7500001,5.0,6.0000005,0.5,2.0,2.0,0.10390818,0.016540486,0,1.10,76.00,-2.00,-2.00,-3.00,-3.00,-3,-1,37.00,55.00,-1,5.00,-1,3.00,76.00,3.70,3,76.00,0.80,1,10.00,1.50,30.00,-2.00,-2.00,-2.00,
16,Jeffrey pine -- ponderosa pine -- Douglas-fir -- California black oak forest,"Mixed forests of Jeffrey pine, ponderosa pine, and California black oak are common throughout the Sierra Nevada. These stands are maintained by periodic underburning. This fuelbed has not burned for more than 50 years, and has a midstory and understory dominated by shade-tolerant conifers such as white fir, Douglas-fir, and incense cedar.","240,260",4,1,"150,152,153,154",3.6008883,4.168562,0.5640672,7.120363E-4,,18.78411,4.5741596,,0.93136007,0,80.00,-3.00,0.1,0.1,70.00,70.00,0.3,1.4000001,1.8000001,0.8,2.5,0,0.70000005,2.5,0,,,,1.00,88.00,-3.00,-3.00,-3.00,-3.00,-3,-1,60.00,30.00,10.00,-1,-1,-1,88.00,0.50,3,88.00,0.50,1,2.00,1.50,20.00,-2.00,-2.00,-2.00,
17,Red fir forest,"Pure stands of red fir are widespread in the central and southern Sierra Nevada. These forests occur above white fir -- sugar pine communities at the upper edge of the lower montane, and are dominant in the upper montane. This fuelbed represents stands that are usually dense, with very little shrub and grass present.",260,2,4,114,24.652784,0,0.32199553,2.024853E-4,,2.1218026,15.219547,1.8235886,0,0,-3.00,-3.00,0.060000002,0,70.00,-3.00,0.90000004,3.1000001,3.0000002,1.0,1.0,1.0,1.0,0.8,0,,,,1.60,86.00,-2.00,-2.00,0.50,5.00,2,-1,-1,100.00,-1,-1,-1,-1,87.00,2.60,3,87.00,2.00,1,6.00,1.50,30.00,-2.00,-2.00,-2.00,
18,Douglas-fir / oceanspray forest,Forests composed of mixed Douglas-fir and ponderosa pine occur in the U.S. Rocky Mountains and east of the Cascade Range. Fire exclusion and historic high-grade logging of mature ponderosa pine has favored dominance of the shade-tolerant Douglas-fir. This 80- to 250-year-old stand was treated with prescribed fire 5 years previously. This fuelbed was developed based on data from North Cascades National Park Complex.,"240,330",2,1,118,0.80498886,6.3594117,0.3503858,6.474835E-4,,15.281103,0.43209475,1.7938468,0.120805,0.027800003,75.00,95.00,0.1,0.07,65.00,65.00,0.4,0.8,0.2,1.1,2.7,6.3,0.90000004,0.8,0,0.10782865,0.45945793,0,0.30,80.00,0.10,7.00,0.10,15.50,2,-1,35.00,50.00,5.00,5.00,-1,5.00,85.00,0.60,3,85.00,0.20,1,2.00,0.41,5.00,-2.00,-2.00,-2.00,
19,White fir -- giant sequoia -- sugar pine forest,Giant sequoia groves with other mixed conifers occur in the montane forests of the Sierra Nevada. Fire is essential to the continued vigor of these forests. Fire exclusion has caused live and dead fuel loadings to increase substantially. This fuelbed was developed based on data from Sequoia and Kings Canyon National Parks.,260,2,1,"119,150",5.80724,8.204849,4.3771267,,,,,37.179337,0.04804,0,90.00,-3.00,0.010000001,0,60.00,-3.00,0.5,1.5000001,3.0000002,0.5,4.0,19.0,0.70000005,2.5,8.0,,,,1.20,85.00,-3.00,-3.00,-3.00,-3.00,-3,5.00,-1,94.00,1.00,-1,-1,-1,85.00,1.40,3,85.00,0.70,1,3.00,1.25,30.00,-2.00,-2.00,-2.00,
20,Western juniper / curl-leaf mountain mahogany woodland,"Mixed forest fuelbed located on dry, steep slopes, ridges, and subalpine areas of the west side of the Sierra Nevada. Western juniper occurs with various species such as Jeffrey pine, white fir, mountain mahogany, and ponderosa pine.",260,2,4,145,1.5093541,2.1303453,0,,,,,,0.524715,0.0064600003,70.00,90.00,0.05,0.3,80.00,80.00,0.05,0.1,0.5,1.0,0,0,0,2.0,4.0,,,,0.50,30.00,0.10,3.00,0.10,5.00,2,-1,20.00,50.00,15.00,-1,-1,15.00,30.00,0.50,3,30.00,0.50,1,-3.00,-3.00,-3.00,-3.00,-3.00,-3.00,
21,Lodgepole pine forest,"Lodgepole pine is often the seral species in montane forests of Washington, Oregon, and the U.S. Rocky Mountains. This fuelbed represents a 10-year old forest stand of lodgepole pine that replaced an older stand of lodgepole pine after a stand-replacing fire.","240,260,330,340",2,4,125,0.63249123,0,0,4.1298094E-6,,0.08171087,4.9185615,5.7004695,0.0010950001,0,99.00,-3.00,0.020000001,0,70.00,-3.00,0.2,1.0,2.5,8.0,0.5,0,0.70000005,0.2,0,0.005635232,0.018378317,0,0.50,50.00,0.10,1.00,0.20,1.00,2,99.00,-1,-1,-1,-1,-1,1.00,50.00,0.50,3,50.00,0.50,1,0.50,0.50,1.00,-2.00,-2.00,-2.00,
22,Lodgepole pine forest,"Mature stands of pure lodgepole pine occur in mid-montane forests of Washington, Oregon, and the U.S. Rocky Mountains. At maturity, these stands are usually dense and even aged. This fuelbed represents an 80-year old stand.","240,260,330,340",2,4,125,4.1255674,0,0,6.892511E-6,,0.13637264,0.08895106,0.08895106,5.5000006E-4,0,99.00,-3.00,0.2,0,70.00,-3.00,0.4,2.2,2.8000002,8.3,0.70000005,0.5,0.8,0.5,0.5,0.005635232,0.018378317,0,0.50,50.00,0.10,1.00,0.20,2.00,2,97.00,-1,-1,-1,-1,-1,3.00,50.00,1.00,3,50.00,1.00,1,-3.00,-3.00,-3.00,-2.00,-2.00,-2.00,
23,Lodgepole pine forest,"Lodgepole pine forests occur in montane forests throughout Washington, Oregon, and the U.S. Rocky Mountains. This fuelbed represents a stand over 80 years old that was attacked by bark beetles less than 5 years previously.","240,260,330,340",2,4,125,3.7805727,0,0.005021123,0.0019358486,,38.30197,24.983027,3.6321678,0.33415002,0,75.00,-3.00,0.17,0,70.00,-3.00,0.2,1.1,1.6,9.700001,8.700001,1.0,3.3000002,2.3000002,1.0,0.005635232,0.0036756636,0,0.50,50.00,0.10,1.00,0.20,5.00,2,95.00,-1,-1,-1,-1,-1,5.00,50.00,0.50,3,50.00,0.50,1,2.00,0.83,10.00,-2.00,-2.00,-2.00,
24,Pacific ponderosa pine -- Douglas-fir forest,"This fuelbed is an example of a stand dominated by ponderosa pine occurring throughout the ponderosa pine zone of the Pacific Northwest and U.S. Rocky Mountains. Although Douglas-fir is commonly associated with these dry forests, fire exclusion, and high-grade logging have increased the ratio of Douglas-fir to ponderosa pine beyond historic levels.","240,260,330,340",2,1,"151,152",3.679949,1.8687241,0.17249763,1.1867272E-4,,3.0543268,0.7236463,1.1486448,0,0,-3.00,-3.00,0.5,0,75.00,-3.00,0.1,0.2,0.75000006,2.0,0.8,0,1.8000001,0.2,0.5,0.032139968,0.45945793,1.2507466,0.70,90.00,-2.00,-2.00,0.20,1.50,2,-1,70.00,5.00,-1,-1,-1,25.00,80.00,0.10,4,80.00,0.50,2,2.00,1.00,20.00,-2.00,-2.00,-2.00,
25,Pinyon -- Utah juniper forest,Pinyon pine and juniper are common associates in the woodlands of the Southwest and are extensively distributed throughout the region. This fuelbed was developed based on data from Zion National Park.,340,2,3,"146,208",6.7843313,1.536307,1.372506,2.2808895E-4,,5.1261315,16.413973,,0.233645,0,80.00,-3.00,0.040000003,0.010000001,60.00,60.00,0.3,0.5,1.2,1.0,1.0,0,,,,,,,0.40,40.00,-3.00,-3.00,-3.00,-3.00,-3,75.00,-1,20.00,-1,-1,-1,5.00,40.00,0.70,3,40.00,0.40,1,1.00,2.50,40.00,-2.00,-2.00,-2.00,
26,Interior ponderosa pine -- limber pine forest,Ponderosa pine forests of the interior western U.S. have changed dramatically within the past century of fire exclusion. Dense understories of pine and sclerophyllous shrubs exacerbate hazardous fuel conditions. This fuelbed was developed based on data from Bryce Canyon National Park.,340,2,1,144,0.7823485,4.614311,0.20527217,,,,0.30329537,3.4648187,1.65758,0.043745,85.00,90.00,0.07,0.010000001,95.00,85.00,0,0.1,0.4,0.3,2.9,9.400001,0.4,0,0,,,,0.80,75.00,-3.00,-3.00,-3.00,-3.00,-3,3.00,92.00,5.00,-1,-1,-1,-1,75.00,0.20,3,75.00,0.30,1,2.00,0.50,40.00,-2.00,-2.00,-2.00,
27,Ponderosa pine -- two needle pinyon -- Utah juniper forest,"This fuelbed represents transitional forests containing ponderosa pine, pinyon pine, and juniper that often occur on montane forest plateaus as an ecotone between interior ponderosa pine forests and pinyon-juniper forests of the Southwest. Utah juniper may be replaced by alligator juniper or other types of juniper in the south.","310,320,330,340",2,1,"144,146,222",1.5524786,1.7833248,0.16686204,7.119868E-5,,1.8894445,0.77214456,0.61771566,0.17363001,0,85.00,-3.00,0.5,0,90.00,-3.00,0.2,0.3,1.0,2.0,0,0,1.0,2.0,6.0000005,0,0.059014827,0,0.50,40.00,-3.00,-3.00,-3.00,-3.00,-3,-1,50.00,20.00,20.00,-1,-1,10.00,30.00,0.10,3,30.00,0.20,1,2.00,0.50,5.00,-2.00,-2.00,-2.00,
28,Ponderosa pine savanna,Fire exclusion has reduced the area of open ponderosa pine stands in native bunchgrass savannas. This fuelbed represents a savanna in which grazing has encouraged replacement of native bunchgrasses with range grasses. ,"310,320,330,340",5,1,"10,144",0.75467706,1.07811,0,,,,7.351327,,0.08027001,0,90.00,-3.00,0.8,0,90.00,-3.00,0.05,0.1,0.2,0.3,0.5,0,0.5,1.0,2.0,0.1759292,0,0,0.50,90.00,-3.00,-3.00,-3.00,-3.00,-3,-1,50.00,-1,-1,-1,-1,50.00,70.00,0.20,3,70.00,0.20,1,4.00,2.00,2.00,-2.00,-2.00,-2.00,
29,Interior ponderosa pine -- Engelmann spruce -- Douglas-fir forest,"Ponderosa pine, Douglas-fir, and Engelmann spruce are common associates in the mixed conifer forests of the U.S. Rocky Mountains and the Southwest. Large diameter trees have been thinned in this fuelbed, and slash was left on site. ","310,320,330,340",2,3,"113,118,144",10.349857,0,0,,,,,0.7443219,1.65758,0.043745,85.00,95.00,0.1,0.1,95.00,85.00,1.0,1.5000001,2.0,6.0000005,12.000001,0,5.0,11.000001,0,0.30925843,0.2164231,0,0.20,70.00,-2.00,-2.00,-2.00,-2.00,-2,-1,50.00,50.00,-1,-1,-1,-1,70.00,1.00,3,70.00,0.40,1,-3.00,-3.00,-3.00,-2.00,-2.00,-2.00,
30,Turbinella oak -- alderleaf mountain mahogany shrubland,"This fuelbed represents Arizona chaparral that exists on over 3 million acres of mid-elevation foothills, mountain slopes, and canyons in Nevada, Arizona, New Mexico, and Texas. It usually occurs at elevations of 3,000 to 6,000 feet and borders oak woodlands, pinyon-juniper woodlands, and grasslands. ","310,320,340",6,4,221,0,0,0,,,,,,2.0345201,0,100.00,-3.00,0.1,0,80.00,-3.00,0.1,0.3,0,0,0,0,,,,,,,0.50,50.00,-3.00,-3.00,0.50,1.00,2,-1,-1,-1,70.00,20.00,-1,10.00,25.00,0.10,3,25.00,0.10,1,-3.00,-3.00,-3.00,-2.00,-2.00,-2.00,
32,Ponderosa pine / pinyon pine -- Utah juniper forest,"Transitional forests containing ponderosa pine, pinyon pine, and juniper often occur on montane forest plateaus as an ecotone between interior ponderosa pine forests and pinyon-juniper forests of the Southwest. This fuelbed was developed based on data from Lake Mead National Recreation Area.",310,2,1,"144,146,222",0.43124405,5.6924214,2.0462863,,,,0.71160847,,0.012105,0,80.00,-3.00,0,0,-3.00,-3.00,0.1,0.90000004,1.3000001,1.4000001,0,0,0.4,0.5,5.9,,,,0.80,40.00,-3.00,-3.00,-3.00,-3.00,-3,10.00,80.00,10.00,-1,-1,-1,-1,35.00,0.20,3,40.00,0.40,1,3.00,1.00,50.00,-2.00,-2.00,-2.00,
33,Gambel oak / big sagebrush shrubland,"Gambel oak and sagebrush are often codominants in the shrublands of the southern and central U.S. Rocky Mountains of Arizona, New Mexico, Colorado, and Utah. The shrublands are maintained through wildfire. This shrubland fuelbed burned 20 to 40 years previously.","310,320,340",6,4,209,0.35937002,1.617165,0,,0.020158557,,0.008576549,0.0061261067,0.29910004,0,80.00,-3.00,0.23,0,60.00,-3.00,0.2,0.2,0.2,0.2,0,0,0,0,0,0.0010583241,9.0053753E-4,0,1.40,70.00,-2.00,-2.00,-2.00,-2.00,-2,-1,-1,-1,100.00,-1,-1,-1,30.00,0.20,3,40.00,0.20,1,-3.00,-3.00,-3.00,-2.00,-2.00,-2.00,
34,Interior Douglas-fir -- interior ponderosa pine / gambel oak forest,This fuelbed represents mixed Douglas-fir and ponderosa pine conifer forests of the Southwest. Fire exclusion has created hazardous fuel conditions.,"310,320,330,340",2,3,"118,144",0.90561247,0,3.4295335,3.5097453E-4,0.21598451,8.503162,5.0730286,4.2275243,0.87932,0,80.00,-3.00,0.2,0,70.00,-3.00,0.1,1.5000001,4.0,2.0,3.0000002,5.0,1.8000001,1.7,0,0.048301987,0.029405309,0,0.60,75.00,-3.00,-3.00,-3.00,-3.00,-3,-1,30.00,30.00,30.00,-1,-1,10.00,75.00,0.50,3,75.00,0.50,1,2.00,0.50,15.00,-2.00,-2.00,-2.00,
36,California live oak -- blue oak woodland,"This fuelbed represents woodlands and savannas in California coastal, inland valleys,  and Sierra Nevada foothills. ",260,1,1,"11,12,158",1.2087901,0,0,,0.75430965,,0.30630535,0.30630535,1.5810051,0,70.00,-3.00,0.4,0,50.00,-3.00,0.5,0.5,1.0,1.0,1.0,0.2,0.2,0.2,0.2,0.056573216,0.011486449,0,0.50,50.00,-2.00,-2.00,-2.00,-2.00,-2,-1,-1,-1,50.00,-1,-1,50.00,30.00,0.50,3,40.00,0.50,1,-3.00,-3.00,-3.00,-2.00,-2.00,-2.00,
37,Ponderosa pine -- Jeffrey pine forest,"Mature conifer forest of the Sierra Nevada composed of mixed long-needle pines. Fire exclusion in this fuelbed has increased trees such as Douglas-fir, white fir, and incense cedar in the understory.",260,2,1,"144,154",7.400147,1.0436105,0.17853503,1.4810354E-4,,3.4204092,6.1261063,3.6756637,0.21630001,1.302,85.00,90.00,0.3,0.010000001,50.00,60.00,0.1,1.0,1.5000001,1.2,2.5,0,0.6,2.5,0,,,,0.30,85.00,-2.00,-2.00,0.30,0.50,2,-1,82.00,15.00,-1,-1,-1,3.00,85.00,1.00,3,85.00,1.00,1,2.50,0.50,30.00,-2.00,-2.00,-2.00,
38,38	Douglas-fir -- madrone -- tanoak forest,"This fuelbed represents mature mixed evergreen forests dominated by Douglas-fir, tanoak, and madrone occurring along the Pacific coast from southern Oregon to California at low to moderate elevations (sea level to 4,500 feet).","240,260",4,3,141,4.829933,10.161677,3.8106291,,,,13.676684,,0.6225,0.01095,95.00,95.00,0.2,0,80.00,-3.00,1.0,2.0,2.0,3.0000002,3.0000002,7.0000005,,,,,,,1.00,100.00,-2.00,-2.00,-2.00,-2.00,-2,-1,-1,90.00,-1,10.00,-1,-1,100.00,0.10,3,100.00,0.70,1,-3.00,-3.00,-3.00,-2.00,-2.00,-2.00,
