fuelbeds,area,fm_duff,fm_1000hr,can_con_pct,shrub_black_pct,pile_black_pct,units,ecoregion,fm_litter,season
4_332,100,30,60,20,80,90,tons,western,30,fall
4_333,100,30,60,20,80,90,tons,western,30,fall
4_411,100,30,60,20,80,90,tons,western,30,fall
4_412,100,30,60,20,80,90,tons,western,30,fall
4_413,100,30,60,20,80,90,tons,western,30,fall
4_421,100,30,60,20,80,90,tons,western,30,fall
4_422,100,30,60,20,80,90,tons,western,30,fall
4_423,100,30,60,20,80,90,tons,western,30,fall
4_431,100,30,60,20,80,90,tons,western,30,fall
4_432,100,30,60,20,80,90,tons,western,30,fall
4_433,100,30,60,20,80,90,tons,western,30,fall
4_511,100,30,60,20,80,90,tons,western,30,fall
4_512,100,30,60,20,80,90,tons,western,30,fall
4_513,100,30,60,20,80,90,tons,western,30,fall
4_521,100,30,60,20,80,90,tons,western,30,fall
4_522,100,30,60,20,80,90,tons,western,30,fall
4_523,100,30,60,20,80,90,tons,western,30,fall
4_531,100,30,60,20,80,90,tons,western,30,fall
4_532,100,30,60,20,80,90,tons,western,30,fall
4_533,100,30,60,20,80,90,tons,western,30,fall
5_111,100,30,60,20,80,90,tons,western,30,fall
5_112,100,30,60,20,80,90,tons,western,30,fall
5_113,100,30,60,20,80,90,tons,western,30,fall
5_121,100,30,60,20,80,90,tons,western,30,fall
5_122,100,30,60,20,80,90,tons,western,30,fall
5_123,100,30,60,20,80,90,tons,western,30,fall
5_131,100,30,60,20,80,90,tons,western,30,fall
5_132,100,30,60,20,80,90,tons,western,30,fall
5_133,100,30,60,20,80,90,tons,western,30,fall
5_211,100,30,60,20,80,90,tons,western,30,fall
5_212,100,30,60,20,80,90,tons,western,30,fall
5_213,100,30,60,20,80,90,tons,western,30,fall
5_221,100,30,60,20,80,90,tons,western,30,fall
5_222,100,30,60,20,80,90,tons,western,30,fall
5_223,100,30,60,20,80,90,tons,western,30,fall
5_231,100,30,60,20,80,90,tons,western,30,fall
5_232,100,30,60,20,80,90,tons,western,30,fall
5_233,100,30,60,20,80,90,tons,western,30,fall
5_311,100,30,60,20,80,90,tons,western,30,fall
5_312,100,30,60,20,80,90,tons,western,30,fall
5_313,100,30,60,20,80,90,tons,western,30,fall
5_321,100,30,60,20,80,90,tons,western,30,fall
5_322,100,30,60,20,80,90,tons,western,30,fall
5_323,100,30,60,20,80,90,tons,western,30,fall
5_331,100,30,60,20,80,90,tons,western,30,fall
5_332,100,30,60,20,80,90,tons,western,30,fall
5_333,100,30,60,20,80,90,tons,western,30,fall
5_411,100,30,60,20,80,90,tons,western,30,fall
5_412,100,30,60,20,80,90,tons,western,30,fall
5_413,100,30,60,20,80,90,tons,western,30,fall
5_421,100,30,60,20,80,90,tons,western,30,fall
5_422,100,30,60,20,80,90,tons,western,30,fall
5_423,100,30,60,20,80,90,tons,western,30,fall
5_431,100,30,60,20,80,90,tons,western,30,fall
5_432,100,30,60,20,80,90,tons,western,30,fall
5_433,100,30,60,20,80,90,tons,western,30,fall
5_511,100,30,60,20,80,90,tons,western,30,fall
5_512,100,30,60,20,80,90,tons,western,30,fall
5_513,100,30,60,20,80,90,tons,western,30,fall
5_521,100,30,60,20,80,90,tons,western,30,fall
5_522,100,30,60,20,80,90,tons,western,30,fall
5_523,100,30,60,20,80,90,tons,western,30,fall
5_531,100,30,60,20,80,90,tons,western,30,fall
5_532,100,30,60,20,80,90,tons,western,30,fall
5_533,100,30,60,20,80,90,tons,western,30,fall
6_111,100,30,60,20,80,90,tons,western,30,fall
6_112,100,30,60,20,80,90,tons,western,30,fall
6_113,100,30,60,20,80,90,tons,western,30,fall
6_121,100,30,60,20,80,90,tons,western,30,fall
6_122,100,30,60,20,80,90,tons,western,30,fall
6_123,100,30,60,20,80,90,tons,western,30,fall
6_131,100,30,60,20,80,90,tons,western,30,fall
6_132,100,30,60,20,80,90,tons,western,30,fall
6_133,100,30,60,20,80,90,tons,western,30,fall
6_211,100,30,60,20,80,90,tons,western,30,fall
6_212,100,30,60,20,80,90,tons,western,30,fall
6_213,100,30,60,20,80,90,tons,western,30,fall
6_221,100,30,60,20,80,90,tons,western,30,fall
6_222,100,30,60,20,80,90,tons,western,30,fall
6_223,100,30,60,20,80,90,tons,western,30,fall
6_231,100,30,60,20,80,90,tons,western,30,fall
6_232,100,30,60,20,80,90,tons,western,30,fall
6_233,100,30,60,20,80,90,tons,western,30,fall
6_311,100,30,60,20,80,90,tons,western,30,fall
6_312,100,30,60,20,80,90,tons,western,30,fall
6_313,100,30,60,20,80,90,tons,western,30,fall
6_321,100,30,60,20,80,90,tons,western,30,fall
6_322,100,30,60,20,80,90,tons,western,30,fall
6_323,100,30,60,20,80,90,tons,western,30,fall
6_331,100,30,60,20,80,90,tons,western,30,fall
6_332,100,30,60,20,80,90,tons,western,30,fall
6_333,100,30,60,20,80,90,tons,western,30,fall
6_411,100,30,60,20,80,90,tons,western,30,fall
6_412,100,30,60,20,80,90,tons,western,30,fall
6_413,100,30,60,20,80,90,tons,western,30,fall
6_421,100,30,60,20,80,90,tons,western,30,fall
6_422,100,30,60,20,80,90,tons,western,30,fall
6_423,100,30,60,20,80,90,tons,western,30,fall
6_431,100,30,60,20,80,90,tons,western,30,fall
6_432,100,30,60,20,80,90,tons,western,30,fall
6_433,100,30,60,20,80,90,tons,western,30,fall
6_511,100,30,60,20,80,90,tons,western,30,fall
6_512,100,30,60,20,80,90,tons,western,30,fall
6_513,100,30,60,20,80,90,tons,western,30,fall
6_521,100,30,60,20,80,90,tons,western,30,fall
6_522,100,30,60,20,80,90,tons,western,30,fall
6_523,100,30,60,20,80,90,tons,western,30,fall
6_531,100,30,60,20,80,90,tons,western,30,fall
6_532,100,30,60,20,80,90,tons,western,30,fall
6_533,100,30,60,20,80,90,tons,western,30,fall
7_111,100,30,60,20,80,90,tons,western,30,fall
7_112,100,30,60,20,80,90,tons,western,30,fall
7_113,100,30,60,20,80,90,tons,western,30,fall
7_121,100,30,60,20,80,90,tons,western,30,fall
7_122,100,30,60,20,80,90,tons,western,30,fall
7_123,100,30,60,20,80,90,tons,western,30,fall
7_131,100,30,60,20,80,90,tons,western,30,fall
7_132,100,30,60,20,80,90,tons,western,30,fall
7_133,100,30,60,20,80,90,tons,western,30,fall
7_211,100,30,60,20,80,90,tons,western,30,fall
7_212,100,30,60,20,80,90,tons,western,30,fall
7_213,100,30,60,20,80,90,tons,western,30,fall
7_221,100,30,60,20,80,90,tons,western,30,fall
7_222,100,30,60,20,80,90,tons,western,30,fall
7_223,100,30,60,20,80,90,tons,western,30,fall
7_231,100,30,60,20,80,90,tons,western,30,fall
7_232,100,30,60,20,80,90,tons,western,30,fall
7_233,100,30,60,20,80,90,tons,western,30,fall
7_311,100,30,60,20,80,90,tons,western,30,fall
7_312,100,30,60,20,80,90,tons,western,30,fall
7_313,100,30,60,20,80,90,tons,western,30,fall
7_321,100,30,60,20,80,90,tons,western,30,fall
7_322,100,30,60,20,80,90,tons,western,30,fall
7_323,100,30,60,20,80,90,tons,western,30,fall
7_331,100,30,60,20,80,90,tons,western,30,fall
7_332,100,30,60,20,80,90,tons,western,30,fall
7_333,100,30,60,20,80,90,tons,western,30,fall
7_411,100,30,60,20,80,90,tons,western,30,fall
7_412,100,30,60,20,80,90,tons,western,30,fall
7_413,100,30,60,20,80,90,tons,western,30,fall
7_421,100,30,60,20,80,90,tons,western,30,fall
7_422,100,30,60,20,80,90,tons,western,30,fall
7_423,100,30,60,20,80,90,tons,western,30,fall
7_431,100,30,60,20,80,90,tons,western,30,fall
7_432,100,30,60,20,80,90,tons,western,30,fall
7_433,100,30,60,20,80,90,tons,western,30,fall
7_511,100,30,60,20,80,90,tons,western,30,fall
7_512,100,30,60,20,80,90,tons,western,30,fall
7_513,100,30,60,20,80,90,tons,western,30,fall
7_521,100,30,60,20,80,90,tons,western,30,fall
7_522,100,30,60,20,80,90,tons,western,30,fall
7_523,100,30,60,20,80,90,tons,western,30,fall
7_531,100,30,60,20,80,90,tons,western,30,fall
7_532,100,30,60,20,80,90,tons,western,30,fall
7_533,100,30,60,20,80,90,tons,western,30,fall
8_111,100,30,60,20,80,90,tons,western,30,fall
8_112,100,30,60,20,80,90,tons,western,30,fall
8_113,100,30,60,20,80,90,tons,western,30,fall
8_121,100,30,60,20,80,90,tons,western,30,fall
8_122,100,30,60,20,80,90,tons,western,30,fall
8_123,100,30,60,20,80,90,tons,western,30,fall
8_131,100,30,60,20,80,90,tons,western,30,fall
8_132,100,30,60,20,80,90,tons,western,30,fall
8_133,100,30,60,20,80,90,tons,western,30,fall
8_211,100,30,60,20,80,90,tons,western,30,fall
8_212,100,30,60,20,80,90,tons,western,30,fall
8_213,100,30,60,20,80,90,tons,western,30,fall
8_221,100,30,60,20,80,90,tons,western,30,fall
8_222,100,30,60,20,80,90,tons,western,30,fall
8_223,100,30,60,20,80,90,tons,western,30,fall
8_231,100,30,60,20,80,90,tons,western,30,fall
8_232,100,30,60,20,80,90,tons,western,30,fall
8_233,100,30,60,20,80,90,tons,western,30,fall
8_311,100,30,60,20,80,90,tons,western,30,fall
8_312,100,30,60,20,80,90,tons,western,30,fall
8_313,100,30,60,20,80,90,tons,western,30,fall
8_321,100,30,60,20,80,90,tons,western,30,fall
8_322,100,30,60,20,80,90,tons,western,30,fall
8_323,100,30,60,20,80,90,tons,western,30,fall
8_331,100,30,60,20,80,90,tons,western,30,fall
8_332,100,30,60,20,80,90,tons,western,30,fall
8_333,100,30,60,20,80,90,tons,western,30,fall
8_411,100,30,60,20,80,90,tons,western,30,fall
8_412,100,30,60,20,80,90,tons,western,30,fall
8_413,100,30,60,20,80,90,tons,western,30,fall
8_421,100,30,60,20,80,90,tons,western,30,fall
8_422,100,30,60,20,80,90,tons,western,30,fall
8_423,100,30,60,20,80,90,tons,western,30,fall
8_431,100,30,60,20,80,90,tons,western,30,fall
8_432,100,30,60,20,80,90,tons,western,30,fall
8_433,100,30,60,20,80,90,tons,western,30,fall
8_511,100,30,60,20,80,90,tons,western,30,fall
8_512,100,30,60,20,80,90,tons,western,30,fall
8_513,100,30,60,20,80,90,tons,western,30,fall
8_521,100,30,60,20,80,90,tons,western,30,fall
8_522,100,30,60,20,80,90,tons,western,30,fall
8_523,100,30,60,20,80,90,tons,western,30,fall
8_531,100,30,60,20,80,90,tons,western,30,fall
8_532,100,30,60,20,80,90,tons,western,30,fall
8_533,100,30,60,20,80,90,tons,western,30,fall
9_111,100,30,60,20,80,90,tons,western,30,fall
9_112,100,30,60,20,80,90,tons,western,30,fall
9_113,100,30,60,20,80,90,tons,western,30,fall
9_121,100,30,60,20,80,90,tons,western,30,fall
9_122,100,30,60,20,80,90,tons,western,30,fall
9_123,100,30,60,20,80,90,tons,western,30,fall
9_131,100,30,60,20,80,90,tons,western,30,fall
9_132,100,30,60,20,80,90,tons,western,30,fall
9_133,100,30,60,20,80,90,tons,western,30,fall
9_211,100,30,60,20,80,90,tons,western,30,fall
9_212,100,30,60,20,80,90,tons,western,30,fall
9_213,100,30,60,20,80,90,tons,western,30,fall
9_221,100,30,60,20,80,90,tons,western,30,fall
9_222,100,30,60,20,80,90,tons,western,30,fall
9_223,100,30,60,20,80,90,tons,western,30,fall
9_231,100,30,60,20,80,90,tons,western,30,fall
9_232,100,30,60,20,80,90,tons,western,30,fall
9_233,100,30,60,20,80,90,tons,western,30,fall
9_311,100,30,60,20,80,90,tons,western,30,fall
9_312,100,30,60,20,80,90,tons,western,30,fall
9_313,100,30,60,20,80,90,tons,western,30,fall
9_321,100,30,60,20,80,90,tons,western,30,fall
9_322,100,30,60,20,80,90,tons,western,30,fall
9_323,100,30,60,20,80,90,tons,western,30,fall
9_331,100,30,60,20,80,90,tons,western,30,fall
9_332,100,30,60,20,80,90,tons,western,30,fall
9_333,100,30,60,20,80,90,tons,western,30,fall
9_411,100,30,60,20,80,90,tons,western,30,fall
9_412,100,30,60,20,80,90,tons,western,30,fall
9_413,100,30,60,20,80,90,tons,western,30,fall
9_421,100,30,60,20,80,90,tons,western,30,fall
9_422,100,30,60,20,80,90,tons,western,30,fall
9_423,100,30,60,20,80,90,tons,western,30,fall
9_431,100,30,60,20,80,90,tons,western,30,fall
9_432,100,30,60,20,80,90,tons,western,30,fall
9_433,100,30,60,20,80,90,tons,western,30,fall
9_511,100,30,60,20,80,90,tons,western,30,fall
9_512,100,30,60,20,80,90,tons,western,30,fall
9_513,100,30,60,20,80,90,tons,western,30,fall
9_521,100,30,60,20,80,90,tons,western,30,fall
9_522,100,30,60,20,80,90,tons,western,30,fall
9_523,100,30,60,20,80,90,tons,western,30,fall
9_531,100,30,60,20,80,90,tons,western,30,fall
9_532,100,30,60,20,80,90,tons,western,30,fall
9_533,100,30,60,20,80,90,tons,western,30,fall
10_111,100,30,60,20,80,90,tons,western,30,fall
10_112,100,30,60,20,80,90,tons,western,30,fall
10_113,100,30,60,20,80,90,tons,western,30,fall
10_121,100,30,60,20,80,90,tons,western,30,fall
10_122,100,30,60,20,80,90,tons,western,30,fall
10_123,100,30,60,20,80,90,tons,western,30,fall
10_131,100,30,60,20,80,90,tons,western,30,fall
10_132,100,30,60,20,80,90,tons,western,30,fall
10_133,100,30,60,20,80,90,tons,western,30,fall
10_211,100,30,60,20,80,90,tons,western,30,fall
10_212,100,30,60,20,80,90,tons,western,30,fall
10_213,100,30,60,20,80,90,tons,western,30,fall
10_221,100,30,60,20,80,90,tons,western,30,fall
10_222,100,30,60,20,80,90,tons,western,30,fall
10_223,100,30,60,20,80,90,tons,western,30,fall
10_231,100,30,60,20,80,90,tons,western,30,fall
10_232,100,30,60,20,80,90,tons,western,30,fall
10_233,100,30,60,20,80,90,tons,western,30,fall
10_311,100,30,60,20,80,90,tons,western,30,fall
10_312,100,30,60,20,80,90,tons,western,30,fall
10_313,100,30,60,20,80,90,tons,western,30,fall
10_321,100,30,60,20,80,90,tons,western,30,fall
10_322,100,30,60,20,80,90,tons,western,30,fall
10_323,100,30,60,20,80,90,tons,western,30,fall
10_331,100,30,60,20,80,90,tons,western,30,fall
10_332,100,30,60,20,80,90,tons,western,30,fall
10_333,100,30,60,20,80,90,tons,western,30,fall
10_411,100,30,60,20,80,90,tons,western,30,fall
10_412,100,30,60,20,80,90,tons,western,30,fall
10_413,100,30,60,20,80,90,tons,western,30,fall
10_421,100,30,60,20,80,90,tons,western,30,fall
10_422,100,30,60,20,80,90,tons,western,30,fall
10_423,100,30,60,20,80,90,tons,western,30,fall
10_431,100,30,60,20,80,90,tons,western,30,fall
10_432,100,30,60,20,80,90,tons,western,30,fall
10_433,100,30,60,20,80,90,tons,western,30,fall
10_511,100,30,60,20,80,90,tons,western,30,fall
10_512,100,30,60,20,80,90,tons,western,30,fall
10_513,100,30,60,20,80,90,tons,western,30,fall
10_521,100,30,60,20,80,90,tons,western,30,fall
10_522,100,30,60,20,80,90,tons,western,30,fall
10_523,100,30,60,20,80,90,tons,western,30,fall
10_531,100,30,60,20,80,90,tons,western,30,fall
10_532,100,30,60,20,80,90,tons,western,30,fall
10_533,100,30,60,20,80,90,tons,western,30,fall
11_111,100,30,60,20,80,90,tons,western,30,fall
11_112,100,30,60,20,80,90,tons,western,30,fall
11_113,100,30,60,20,80,90,tons,western,30,fall
11_121,100,30,60,20,80,90,tons,western,30,fall
11_122,100,30,60,20,80,90,tons,western,30,fall
11_123,100,30,60,20,80,90,tons,western,30,fall
11_131,100,30,60,20,80,90,tons,western,30,fall
11_132,100,30,60,20,80,90,tons,western,30,fall
11_133,100,30,60,20,80,90,tons,western,30,fall
11_211,100,30,60,20,80,90,tons,western,30,fall
11_212,100,30,60,20,80,90,tons,western,30,fall
11_213,100,30,60,20,80,90,tons,western,30,fall
11_221,100,30,60,20,80,90,tons,western,30,fall
11_222,100,30,60,20,80,90,tons,western,30,fall
11_223,100,30,60,20,80,90,tons,western,30,fall
11_231,100,30,60,20,80,90,tons,western,30,fall
11_232,100,30,60,20,80,90,tons,western,30,fall
11_233,100,30,60,20,80,90,tons,western,30,fall
11_311,100,30,60,20,80,90,tons,western,30,fall
11_312,100,30,60,20,80,90,tons,western,30,fall
11_313,100,30,60,20,80,90,tons,western,30,fall
11_321,100,30,60,20,80,90,tons,western,30,fall
11_322,100,30,60,20,80,90,tons,western,30,fall
11_323,100,30,60,20,80,90,tons,western,30,fall
11_331,100,30,60,20,80,90,tons,western,30,fall
11_332,100,30,60,20,80,90,tons,western,30,fall
11_333,100,30,60,20,80,90,tons,western,30,fall
11_411,100,30,60,20,80,90,tons,western,30,fall
11_412,100,30,60,20,80,90,tons,western,30,fall
11_413,100,30,60,20,80,90,tons,western,30,fall
11_421,100,30,60,20,80,90,tons,western,30,fall
11_422,100,30,60,20,80,90,tons,western,30,fall
11_423,100,30,60,20,80,90,tons,western,30,fall
11_431,100,30,60,20,80,90,tons,western,30,fall
11_432,100,30,60,20,80,90,tons,western,30,fall
11_433,100,30,60,20,80,90,tons,western,30,fall
11_511,100,30,60,20,80,90,tons,western,30,fall
11_512,100,30,60,20,80,90,tons,western,30,fall
11_513,100,30,60,20,80,90,tons,western,30,fall
11_521,100,30,60,20,80,90,tons,western,30,fall
11_522,100,30,60,20,80,90,tons,western,30,fall
11_523,100,30,60,20,80,90,tons,western,30,fall
11_531,100,30,60,20,80,90,tons,western,30,fall
11_532,100,30,60,20,80,90,tons,western,30,fall
11_533,100,30,60,20,80,90,tons,western,30,fall
12_111,100,30,60,20,80,90,tons,western,30,fall
12_112,100,30,60,20,80,90,tons,western,30,fall
12_113,100,30,60,20,80,90,tons,western,30,fall
12_121,100,30,60,20,80,90,tons,western,30,fall
12_122,100,30,60,20,80,90,tons,western,30,fall
12_123,100,30,60,20,80,90,tons,western,30,fall
12_131,100,30,60,20,80,90,tons,western,30,fall
12_132,100,30,60,20,80,90,tons,western,30,fall
12_133,100,30,60,20,80,90,tons,western,30,fall
12_211,100,30,60,20,80,90,tons,western,30,fall
12_212,100,30,60,20,80,90,tons,western,30,fall
12_213,100,30,60,20,80,90,tons,western,30,fall
12_221,100,30,60,20,80,90,tons,western,30,fall
12_222,100,30,60,20,80,90,tons,western,30,fall
12_223,100,30,60,20,80,90,tons,western,30,fall
12_231,100,30,60,20,80,90,tons,western,30,fall
12_232,100,30,60,20,80,90,tons,western,30,fall
12_233,100,30,60,20,80,90,tons,western,30,fall
12_311,100,30,60,20,80,90,tons,western,30,fall
12_312,100,30,60,20,80,90,tons,western,30,fall
12_313,100,30,60,20,80,90,tons,western,30,fall
12_321,100,30,60,20,80,90,tons,western,30,fall
12_322,100,30,60,20,80,90,tons,western,30,fall
12_323,100,30,60,20,80,90,tons,western,30,fall
12_331,100,30,60,20,80,90,tons,western,30,fall
12_332,100,30,60,20,80,90,tons,western,30,fall
12_333,100,30,60,20,80,90,tons,western,30,fall
12_411,100,30,60,20,80,90,tons,western,30,fall
12_412,100,30,60,20,80,90,tons,western,30,fall
12_413,100,30,60,20,80,90,tons,western,30,fall
12_421,100,30,60,20,80,90,tons,western,30,fall
12_422,100,30,60,20,80,90,tons,western,30,fall
12_423,100,30,60,20,80,90,tons,western,30,fall
12_431,100,30,60,20,80,90,tons,western,30,fall
12_432,100,30,60,20,80,90,tons,western,30,fall
12_433,100,30,60,20,80,90,tons,western,30,fall
12_511,100,30,60,20,80,90,tons,western,30,fall
12_512,100,30,60,20,80,90,tons,western,30,fall
12_513,100,30,60,20,80,90,tons,western,30,fall
12_521,100,30,60,20,80,90,tons,western,30,fall
12_522,100,30,60,20,80,90,tons,western,30,fall
12_523,100,30,60,20,80,90,tons,western,30,fall
12_531,100,30,60,20,80,90,tons,western,30,fall
12_532,100,30,60,20,80,90,tons,western,30,fall
12_533,100,30,60,20,80,90,tons,western,30,fall
13_111,100,30,60,20,80,90,tons,western,30,fall
13_112,100,30,60,20,80,90,tons,western,30,fall
13_113,100,30,60,20,80,90,tons,western,30,fall
13_121,100,30,60,20,80,90,tons,western,30,fall
13_122,100,30,60,20,80,90,tons,western,30,fall
13_123,100,30,60,20,80,90,tons,western,30,fall
13_131,100,30,60,20,80,90,tons,western,30,fall
13_132,100,30,60,20,80,90,tons,western,30,fall
13_133,100,30,60,20,80,90,tons,western,30,fall
13_211,100,30,60,20,80,90,tons,western,30,fall
13_212,100,30,60,20,80,90,tons,western,30,fall
13_213,100,30,60,20,80,90,tons,western,30,fall
13_221,100,30,60,20,80,90,tons,western,30,fall
13_222,100,30,60,20,80,90,tons,western,30,fall
13_223,100,30,60,20,80,90,tons,western,30,fall
13_231,100,30,60,20,80,90,tons,western,30,fall
13_232,100,30,60,20,80,90,tons,western,30,fall
13_233,100,30,60,20,80,90,tons,western,30,fall
13_311,100,30,60,20,80,90,tons,western,30,fall
13_312,100,30,60,20,80,90,tons,western,30,fall
